0.051000 0.617208 -0.893389 -0.276181 0.001880 -0.039304 0.006971 1.198120 0.039304 -0.006971
0.052000 0.617386 -0.893572 -0.276186 0.001974 -0.040072 0.007107 1.198026 0.040072 -0.007107
0.053000 0.617569 -0.893760 -0.276191 0.002070 -0.040840 0.007244 1.197930 0.040840 -0.007244
0.054000 0.617757 -0.893953 -0.276196 0.002169 -0.041608 0.007380 1.197831 0.041608 -0.007380
0.055000 0.617950 -0.894151 -0.276201 0.002270 -0.042376 0.007516 1.197730 0.042376 -0.007516
0.056000 0.618148 -0.894354 -0.276206 0.002373 -0.043143 0.007652 1.197627 0.043143 -0.007652
0.057000 0.618352 -0.894563 -0.276211 0.002478 -0.043911 0.007788 1.197522 0.043911 -0.007788
0.058000 0.618560 -0.894776 -0.276216 0.002585 -0.044678 0.007924 1.197415 0.044678 -0.007924
0.059000 0.618773 -0.894994 -0.276221 0.002695 -0.045445 0.008060 1.197305 0.045445 -0.008060
0.060000 0.618992 -0.895218 -0.276226 0.002807 -0.046212 0.008196 1.197193 0.046212 -0.008196
0.061000 0.619215 -0.895446 -0.276231 0.002921 -0.046979 0.008332 1.197079 0.046979 -0.008332
0.062000 0.619443 -0.895679 -0.276236 0.003037 -0.047745 0.008468 1.196963 0.047745 -0.008468
0.063000 0.619677 -0.895918 -0.276241 0.003155 -0.048512 0.008604 1.196845 0.048512 -0.008604
0.064000 0.619915 -0.896161 -0.276246 0.003276 -0.049278 0.008740 1.196724 0.049278 -0.008740
0.065000 0.620158 -0.896409 -0.276251 0.003398 -0.050044 0.008876 1.196602 0.050044 -0.008876
0.066000 0.620406 -0.896662 -0.276256 0.003523 -0.050810 0.009012 1.196477 0.050810 -0.009012
0.067000 0.620659 -0.896920 -0.276261 0.003650 -0.051575 0.009147 1.196350 0.051575 -0.009147
0.068000 0.620917 -0.897183 -0.276266 0.003780 -0.052341 0.009283 1.196220 0.052341 -0.009283
0.069000 0.621180 -0.897451 -0.276271 0.003911 -0.053106 0.009419 1.196089 0.053106 -0.009419
0.070000 0.621448 -0.897724 -0.276275 0.004045 -0.053871 0.009555 1.195955 0.053871 -0.009555
0.071000 0.621721 -0.898001 -0.276280 0.004180 -0.054636 0.009690 1.195820 0.054636 -0.009690
0.072000 0.621998 -0.898283 -0.276285 0.004318 -0.055401 0.009826 1.195682 0.055401 -0.009826
0.073000 0.622281 -0.898570 -0.276290 0.004458 -0.056165 0.009962 1.195542 0.056165 -0.009962
0.074000 0.622568 -0.898862 -0.276295 0.004600 -0.056929 0.010097 1.195400 0.056929 -0.010097
0.075000 0.622860 -0.899159 -0.276300 0.004745 -0.057693 0.010233 1.195255 0.057693 -0.010233
0.076000 0.623156 -0.899461 -0.276304 0.004891 -0.058457 0.010368 1.195109 0.058457 -0.010368
0.077000 0.623458 -0.899767 -0.276309 0.005040 -0.059221 0.010503 1.194960 0.059221 -0.010503
0.078000 0.623764 -0.900078 -0.276314 0.005191 -0.059984 0.010639 1.194809 0.059984 -0.010639
0.079000 0.624075 -0.900393 -0.276318 0.005344 -0.060748 0.010774 1.194656 0.060748 -0.010774
0.080000 0.624390 -0.900713 -0.276323 0.005499 -0.061511 0.010910 1.194501 0.061511 -0.010910
0.081000 0.624711 -0.901038 -0.276328 0.005657 -0.062273 0.011045 1.194343 0.062273 -0.011045
0.082000 0.625035 -0.901368 -0.276332 0.005816 -0.063036 0.011180 1.194184 0.063036 -0.011180
0.083000 0.625365 -0.901702 -0.276337 0.005978 -0.063798 0.011315 1.194022 0.063798 -0.011315
0.084000 0.625699 -0.902041 -0.276342 0.006142 -0.064560 0.011450 1.193858 0.064560 -0.011450
0.085000 0.626038 -0.902384 -0.276346 0.006308 -0.065322 0.011586 1.193692 0.065322 -0.011586
0.086000 0.626381 -0.902732 -0.276351 0.006476 -0.066084 0.011721 1.193524 0.066084 -0.011721
0.087000 0.626729 -0.903084 -0.276355 0.006646 -0.066845 0.011856 1.193354 0.066845 -0.011856
0.088000 0.627081 -0.903441 -0.276360 0.006818 -0.067606 0.011991 1.193182 0.067606 -0.011991
0.089000 0.627438 -0.903803 -0.276364 0.006993 -0.068367 0.012126 1.193007 0.068367 -0.012126
0.090000 0.627800 -0.904168 -0.276369 0.007170 -0.069128 0.012261 1.192830 0.069128 -0.012261
0.091000 0.628166 -0.904539 -0.276373 0.007348 -0.069888 0.012395 1.192652 0.069888 -0.012395
